date,home_team,away_team,home_goals,away_goals,result
2024-11-23,Ath Madrid,Alaves,2,1,H
2024-11-23,Girona,Espanol,4,1,H
2024-11-23,Las Palmas,Mallorca,2,3,A
2024-11-23,Celta,Barcelona,2,2,D
2024-11-24,Ath Bilbao,Sociedad,1,0,H
2024-11-24,Leganes,Real Madrid,0,3,A
2024-11-24,Sevilla,Vallecano,1,0,H
2024-11-24,Osasuna,Villarreal,2,2,D
2024-11-29,Mallorca,Valencia,2,1,H
2024-11-30,Barcelona,Las Palmas,1,2,A
2024-11-30,Alaves,Leganes,1,1,D
2024-11-30,Espanol,Celta,3,1,H
2024-11-30,Valladolid,Ath Madrid,0,5,A
2024-12-01,Villarreal,Girona,2,2,D
2024-12-01,Real Madrid,Getafe,2,0,H
2024-12-01,Vallecano,Ath Bilbao,1,2,A
2024-12-01,Sociedad,Betis,2,0,H
2024-12-02,Sevilla,Osasuna,1,1,D
2024-12-03,Mallorca,Barcelona,1,5,A
2024-12-04,Ath Bilbao,Real Madrid,2,1,H
2024-12-06,Celta,Mallorca,2,0,H
2024-12-07,Las Palmas,Valladolid,2,1,H
2024-12-07,Betis,Barcelona,2,2,D
2024-12-07,Valencia,Vallecano,0,1,A
2024-12-07,Girona,Real Madrid,0,3,A
2024-12-08,Leganes,Sociedad,0,3,A
2024-12-08,Ath Bilbao,Villarreal,2,0,H
2024-12-08,Osasuna,Alaves,2,2,D
2024-12-08,Ath Madrid,Sevilla,4,3,H
2024-12-09,Getafe,Espanol,1,0,H
2024-12-13,Valladolid,Valencia,1,0,H
2024-12-14,Mallorca,Girona,2,1,H
2024-12-14,Sevilla,Celta,1,0,H
2024-12-14,Espanol,Osasuna,0,0,D
2024-12-14,Vallecano,Real Madrid,3,3,D
2024-12-15,Ath Madrid,Getafe,1,0,H
2024-12-15,Barcelona,Leganes,0,1,A
2024-12-15,Villarreal,Betis,1,2,A
2024-12-15,Sociedad,Las Palmas,0,0,D
2024-12-15,Alaves,Ath Bilbao,1,1,D
2024-12-18,Espanol,Valencia,1,1,D
2024-12-18,Villarreal,Vallecano,1,1,D
2024-12-20,Girona,Valladolid,3,0,H
2024-12-21,Barcelona,Ath Madrid,1,2,A
2024-12-21,Getafe,Mallorca,0,1,A
2024-12-21,Celta,Sociedad,2,0,H
2024-12-21,Osasuna,Ath Bilbao,1,2,A
2024-12-22,Betis,Vallecano,1,1,D
2024-12-22,Leganes,Villarreal,2,5,A
2024-12-22,Las Palmas,Espanol,1,0,H
2024-12-22,Real Madrid,Sevilla,4,2,H
2024-12-22,Valencia,Alaves,2,2,D
2025-01-03,Valencia,Real Madrid,1,2,A
2025-01-10,Vallecano,Celta,2,1,H
2025-01-11,Espanol,Leganes,1,1,D
2025-01-11,Valladolid,Betis,1,0,H
2025-01-11,Sevilla,Valencia,1,1,D
2025-01-11,Alaves,Girona,0,1,A
2025-01-12,Ath Madrid,Osasuna,1,0,H
2025-01-12,Las Palmas,Getafe,1,2,A
2025-01-13,Sociedad,Villarreal,1,0,H
2025-01-17,Espanol,Valladolid,2,1,H
2025-01-18,Girona,Sevilla,1,2,A
2025-01-18,Leganes,Ath Madrid,1,0,H
2025-01-18,Betis,Alaves,1,3,A
2025-01-18,Getafe,Barcelona,1,1,D
2025-01-19,Valencia,Sociedad,1,0,H
2025-01-19,Osasuna,Vallecano,1,1,D
2025-01-19,Real Madrid,Las Palmas,4,1,H
2025-01-19,Celta,Ath Bilbao,1,2,A
2025-01-20,Villarreal,Mallorca,4,0,H
2025-01-24,Las Palmas,Osasuna,1,1,D
2025-01-25,Sevilla,Espanol,1,1,D
2025-01-25,Mallorca,Betis,0,1,A
2025-01-25,Ath Madrid,Villarreal,1,1,D
2025-01-25,Valladolid,Real Madrid,0,3,A
2025-01-26,Sociedad,Getafe,0,3,A
2025-01-26,Vallecano,Girona,2,1,H
2025-01-26,Ath Bilbao,Leganes,0,0,D
2025-01-26,Barcelona,Valencia,7,1,H
2025-01-27,Alaves,Celta,1,1,D
2025-01-31,Leganes,Vallecano,0,1,A
2025-02-01,Ath Madrid,Mallorca,2,0,H
2025-02-01,Villarreal,Valladolid,5,1,H
2025-02-01,Espanol,Real Madrid,1,0,H
2025-02-01,Getafe,Sevilla,0,0,D
2025-02-02,Valencia,Celta,2,1,H
2025-02-02,Barcelona,Alaves,1,0,H
2025-02-02,Osasuna,Sociedad,2,1,H
2025-02-02,Betis,Ath Bilbao,2,2,D
2025-02-03,Girona,Las Palmas,2,1,H
2025-02-07,Vallecano,Valladolid,1,0,H
2025-02-08,Celta,Betis,3,2,H
2025-02-08,Ath Bilbao,Girona,3,0,H
2025-02-08,Las Palmas,Villarreal,1,2,A
2025-02-08,Real Madrid,Ath Madrid,1,1,D
2025-02-09,Alaves,Getafe,0,1,A
2025-02-09,Valencia,Leganes,2,0,H
2025-02-09,Sociedad,Espanol,2,1,H
2025-02-09,Sevilla,Barcelona,1,4,A
2025-02-10,Mallorca,Osasuna,1,1,D
2025-02-14,Girona,Getafe,1,2,A
2025-02-15,Villarreal,Valencia,1,1,D
2025-02-15,Ath Madrid,Celta,1,1,D
2025-02-15,Leganes,Alaves,3,3,D
2025-02-15,Osasuna,Real Madrid,1,1,D
2025-02-16,Espanol,Ath Bilbao,1,1,D
2025-02-16,Valladolid,Sevilla,0,4,A
2025-02-16,Mallorca,Las Palmas,3,1,H
2025-02-16,Betis,Sociedad,3,0,H
2025-02-17,Barcelona,Vallecano,1,0,H
2025-02-21,Celta,Osasuna,1,0,H
2025-02-22,Las Palmas,Barcelona,0,2,A
2025-02-22,Vallecano,Villarreal,0,1,A
2025-02-22,Alaves,Espanol,0,1,A
2025-02-22,Valencia,Ath Madrid,0,3,A
2025-02-23,Sociedad,Leganes,3,0,H
2025-02-23,Ath Bilbao,Valladolid,7,1,H
2025-02-23,Getafe,Betis,1,2,A
2025-02-23,Real Madrid,Girona,2,0,H
2025-02-24,Sevilla,Mallorca,1,1,D
2025-02-28,Valladolid,Las Palmas,1,1,D
2025-03-01,Girona,Celta,2,2,D
2025-03-01,Vallecano,Sevilla,1,1,D
2025-03-01,Betis,Real Madrid,2,1,H
2025-03-01,Ath Madrid,Ath Bilbao,1,0,H
2025-03-02,Osasuna,Valencia,3,3,D
2025-03-02,Barcelona,Sociedad,4,0,H
2025-03-02,Leganes,Getafe,1,0,H
2025-03-02,Mallorca,Alaves,1,1,D
2025-03-08,Alaves,Villarreal,1,0,H
2025-03-08,Valencia,Valladolid,2,1,H
2025-03-08,Celta,Leganes,2,1,H
2025-03-09,Getafe,Ath Madrid,2,1,H
2025-03-09,Real Madrid,Vallecano,2,1,H
2025-03-09,Ath Bilbao,Mallorca,1,1,D
2025-03-09,Betis,Las Palmas,1,0,H
2025-03-09,Sociedad,Sevilla,0,1,A
2025-03-10,Espanol,Girona,1,1,D
2025-03-14,Las Palmas,Alaves,2,2,D
2025-03-15,Mallorca,Espanol,2,1,H
2025-03-15,Villarreal,Real Madrid,1,2,A
2025-03-15,Girona,Valencia,1,1,D
2025-03-15,Valladolid,Celta,0,1,A
2025-03-16,Leganes,Betis,2,3,A
2025-03-16,Sevilla,Ath Bilbao,0,1,A
2025-03-16,Osasuna,Getafe,1,2,A
2025-03-16,Vallecano,Sociedad,2,2,D
2025-03-16,Ath Madrid,Barcelona,2,4,A
2025-03-27,Barcelona,Osasuna,3,0,H
2025-03-29,Real Madrid,Leganes,3,2,H
2025-03-29,Alaves,Vallecano,0,2,A
2025-03-29,Sociedad,Valladolid,2,1,H
2025-03-29,Espanol,Ath Madrid,1,1,D
2025-03-30,Getafe,Villarreal,1,2,A
2025-03-30,Barcelona,Girona,4,1,H
2025-03-30,Ath Bilbao,Osasuna,0,0,D
2025-03-30,Valencia,Mallorca,1,0,H
2025-03-30,Betis,Sevilla,2,1,H
2025-03-31,Celta,Las Palmas,1,1,D
2025-04-04,Vallecano,Espanol,0,4,A
2025-04-05,Mallorca,Celta,1,2,A
2025-04-05,Girona,Alaves,0,1,A
2025-04-05,Real Madrid,Valencia,1,2,A
2025-04-05,Barcelona,Betis,1,1,D
2025-04-06,Valladolid,Getafe,0,4,A
2025-04-06,Villarreal,Ath Bilbao,0,0,D
2025-04-06,Las Palmas,Sociedad,1,3,A
2025-04-06,Sevilla,Ath Madrid,1,2,A
2025-04-07,Leganes,Osasuna,1,1,D
2025-04-11,Valencia,Sevilla,1,0,H
2025-04-12,Celta,Espanol,0,2,A
2025-04-12,Leganes,Barcelona,0,1,A
2025-04-12,Sociedad,Mallorca,0,2,A
2025-04-12,Getafe,Las Palmas,1,3,A
2025-04-13,Osasuna,Girona,2,1,H
2025-04-13,Alaves,Real Madrid,0,1,A
2025-04-13,Betis,Villarreal,1,2,A
2025-04-13,Ath Bilbao,Vallecano,3,1,H
2025-04-14,Ath Madrid,Valladolid,4,2,H
2025-04-18,Espanol,Getafe,1,0,H
2025-04-19,Las Palmas,Ath Madrid,1,0,H
2025-04-19,Barcelona,Celta,4,3,H
2025-04-19,Vallecano,Valencia,1,1,D
2025-04-19,Mallorca,Leganes,0,0,D
2025-04-20,Valladolid,Osasuna,2,3,A
2025-04-20,Villarreal,Sociedad,2,2,D
2025-04-20,Sevilla,Alaves,1,1,D
2025-04-20,Real Madrid,Ath Bilbao,1,0,H
2025-04-21,Girona,Betis,1,3,A
2025-04-22,Valencia,Espanol,1,1,D
2025-04-22,Barcelona,Mallorca,1,0,H
2025-04-23,Ath Bilbao,Las Palmas,1,0,H
2025-04-23,Celta,Villarreal,3,0,H
2025-04-23,Getafe,Real Madrid,0,1,A
2025-04-23,Alaves,Sociedad,1,0,H
