date,home_team,away_team,home_goals,away_goals,result,r_home_pre,r_away_pre,p_home,p_away,p_draw,r_home_post,r_away_post
2024-09-13,Betis,Leganes,2,0,H,1491.8,1499.0,0.4295625592672419,0.31686725315316305,0.2535701875795951,1500.3,1490.5
2024-09-14,Espanol,Alaves,3,2,H,1491.3,1510.1,0.41397764338730136,0.3266114524172724,0.2594109041954262,1500.1,1501.3
2024-09-14,Sociedad,Real Madrid,0,2,A,1490.2,1519.3,0.40028981182491974,0.33513987485984875,0.2645703133152315,1479.3,1530.2
2024-09-14,Mallorca,Villarreal,1,2,A,1500.6,1519.0,0.4146442365522474,0.3261953396785721,0.2591604237691804,1489.4,1530.1
2024-09-14,Sevilla,Getafe,1,0,H,1480.2,1498.2,0.415028920185155,0.32595517563553,0.25901590417931497,1489.0,1489.4
2024-09-15,Celta,Valladolid,3,1,H,1499.0,1491.0,0.4498758238676492,0.3041306648598217,0.2459935112725291,1507.1,1482.9
2024-09-15,Girona,Barcelona,1,4,A,1513.5,1538.5,0.40570396556241667,0.3317703664836102,0.2625256679539731,1502.5,1549.5
2024-09-15,Las Palmas,Ath Bilbao,2,3,A,1481.0,1486.9,0.43121440560001767,0.3158328003718628,0.2529527940281196,1469.5,1498.5
2024-09-15,Ath Madrid,Valencia,3,0,H,1518.9,1472.1,0.5019423427189127,0.2714503445109868,0.22660731277010043,1525.9,1465.1
2024-09-16,Vallecano,Osasuna,3,1,H,1492.8,1506.5,0.42080070247412177,0.32234925467714964,0.2568500428487286,1501.5,1497.8
2024-09-17,Mallorca,Sociedad,1,0,H,1489.4,1479.3,0.4527692415663076,0.30231438038797187,0.24491637804572056,1497.4,1471.3
2024-09-18,Betis,Getafe,2,1,H,1500.3,1489.4,0.4537543660375425,0.3016959121825087,0.24454972177994877,1508.3,1481.4
2024-09-19,Leganes,Ath Bilbao,0,2,A,1490.5,1498.5,0.4284356784096153,0.3175727905377368,0.25399153105264793,1479.0,1510.0
2024-09-20,Alaves,Sevilla,2,1,H,1501.3,1489.0,0.45559957070173623,0.3005373887885074,0.2438630405097564,1509.2,1481.0
2024-09-21,Valladolid,Sociedad,0,0,D,1482.9,1471.3,0.45478228073035426,0.3010505432790221,0.24416717599062362,1480.9,1473.3
2024-09-21,Osasuna,Las Palmas,2,1,H,1497.8,1469.5,0.4771698786959837,0.2869910537449516,0.23583906755906472,1505.3,1462.0
2024-09-21,Valencia,Girona,2,0,H,1465.1,1502.5,0.3894277607977255,0.34188229784303986,0.26868994135923463,1474.5,1493.1
2024-09-21,Real Madrid,Espanol,4,1,H,1530.2,1500.1,0.47954924134446236,0.28549706938931335,0.23495368926622429,1537.6,1492.6
2024-09-22,Getafe,Leganes,1,1,D,1481.4,1479.0,0.4423937730473817,0.308825419909998,0.2487808070426203,1479.7,1480.8
2024-09-22,Ath Bilbao,Celta,3,1,H,1510.0,1507.1,0.442996075811242,0.30844761633665374,0.2485563078521042,1518.2,1498.9
2024-09-22,Villarreal,Barcelona,1,5,A,1530.1,1549.5,0.41320562595109533,0.32709329175857604,0.2597010822903286,1519.0,1560.7
2024-09-22,Vallecano,Ath Madrid,1,1,D,1501.5,1525.9,0.40645833295242345,0.33130046443100974,0.26224120261656675,1500.4,1527.0
2024-09-23,Betis,Mallorca,1,2,A,1508.3,1497.4,0.45372148124206757,0.3017165580630994,0.24456196069483305,1496.3,1509.5
2024-09-24,Sevilla,Valladolid,2,1,H,1481.0,1480.9,0.4393297349039115,0.3107469967579989,0.24992326833808967,1489.3,1472.6
2024-09-24,Valencia,Osasuna,0,0,D,1474.5,1505.3,0.3980263618733082,0.3365468893624737,0.26542674876421807,1473.6,1506.2
2024-09-24,Real Madrid,Alaves,3,2,H,1537.6,1509.2,0.47730938997406747,0.28690345118002936,0.23578715884590318,1545.2,1501.7
2024-09-25,Girona,Vallecano,0,0,D,1493.1,1500.4,0.4293575386569007,0.3169956259407117,0.25364683540238764,1491.6,1501.9
2024-09-25,Barcelona,Getafe,1,0,H,1560.7,1479.7,0.5474494528281295,0.243072269277804,0.20947827789406645,1566.9,1473.5
2024-09-26,Celta,Ath Madrid,0,1,A,1498.9,1527.0,0.4016800799604692,0.33427515835929905,0.26404476168023167,1488.0,1537.9
2024-09-26,Las Palmas,Betis,1,1,D,1462.0,1496.3,0.393430423286249,0.33940063470689197,0.2671689420068591,1461.2,1497.0
2024-09-26,Espanol,Villarreal,1,2,A,1492.6,1519.0,0.40397447027778216,0.3328473048172839,0.263178224904934,1481.7,1529.9
2024-09-27,Valladolid,Mallorca,1,2,A,1472.6,1509.5,0.3901265397372978,0.3414493112139864,0.2684241490487158,1461.9,1520.1
2024-09-28,Getafe,Alaves,2,0,H,1473.5,1501.7,0.4015423858489391,0.3343608174963004,0.26409679665476055,1482.6,1492.6
2024-09-28,Vallecano,Leganes,1,1,D,1501.9,1480.8,0.4675373025769964,0.2930404394209523,0.23942225800205133,1499.6,1483.1
2024-09-28,Sociedad,Valencia,3,0,H,1473.3,1473.6,0.4386840537988923,0.3111518408637075,0.25016410533740013,1481.6,1465.3
2024-09-28,Osasuna,Barcelona,4,2,H,1506.2,1566.9,0.35944237010860824,0.36091205330760645,0.27964557658378525,1516.2,1556.8
2024-09-29,Betis,Espanol,1,0,H,1497.0,1481.7,0.4597804606176803,0.2979120326482658,0.24230750673405388,1504.9,1473.8
2024-09-29,Celta,Girona,1,1,D,1488.0,1491.6,0.43418494477978403,0.31397186167063024,0.2518431935495858,1486.3,1493.2
2024-09-29,Ath Bilbao,Sevilla,1,1,D,1518.2,1489.3,0.47786436658507425,0.2865549729254455,0.23558066048948026,1515.7,1491.8
2024-09-29,Ath Madrid,Real Madrid,1,1,D,1537.9,1545.2,0.42937163051143123,0.3169868025250363,0.25364156696353246,1536.4,1546.7
2024-09-30,Villarreal,Las Palmas,3,1,H,1529.9,1461.2,0.5311679048938511,0.253189367450937,0.21564272765521186,1536.4,1454.8
2024-10-04,Leganes,Valencia,0,0,D,1483.1,1465.3,0.46296507726219627,0.2959120415329344,0.2411228812048693,1480.9,1467.5
2024-10-05,Las Palmas,Celta,0,1,A,1454.8,1486.3,0.39708606826527754,0.3371310986043485,0.26578283313037393,1444.0,1497.2
2024-10-05,Espanol,Mallorca,2,1,H,1473.8,1520.1,0.37771551490247457,0.3491220052468964,0.273162479850629,1483.4,1510.5
2024-10-05,Valladolid,Vallecano,1,2,A,1461.9,1499.6,0.3890024479822755,0.34214578105537746,0.268851770962347,1451.3,1510.3
2024-10-05,Real Madrid,Villarreal,2,0,H,1546.7,1536.4,0.45288869931961395,0.30223938587609944,0.2448719148042866,1554.7,1528.4
2024-10-05,Getafe,Osasuna,1,1,D,1482.6,1516.2,0.39444589658344364,0.33877048001053955,0.2667836234060168,1481.8,1516.9
2024-10-06,Girona,Ath Bilbao,2,1,H,1493.2,1515.7,0.4091866943475039,0.32960013112755737,0.26121317452493875,1502.2,1506.7
